State,Year,Total_co2_emission,Average_Price,resident_population,Total_energy,Total_renewable_energy,,
IL,2000,231.634972,10.47,12434,1888998,47031,,
FL,1999,231.373412,10.44,15759,570597,204114,,
OH,2014,231.370205,19.78,11603,1549972,84495,,
IN,2006,231.343898,13.91,6333,845555,35505,,
IN,2007,231.193122,14.46,6380,868290,34565,,
FL,2016,230.06299,18.81,20630,551964,233163,,
IL,2010,229.930802,17.26,12841,2091364,85568,,
PA,2015,229.768452,17.81,12786,7466903,168603,,
IL,2013,229.525227,18.35,12898,2519330,127643,,
OH,2013,229.454563,19.92,11577,1152338,84477,,
IN,2002,229.232764,8.19,6156,854384,39228,,
FL,2011,229.219509,25.51,19093,483006,225551,,
IL,2011,228.791302,19.38,12867,2188720,92344,,
IL,2003,228.692203,11.25,12556,1935502,47039,,
FL,2014,227.712624,25.1,19860,535578,230317,,
IN,2008,226.770458,17.08,6425,942352,43404,,
IN,2001,225.946124,8.82,6128,875593,39798,,
LA,2000,225.675622,7.6,4472,2759529,142328,,
LA,2008,225.571619,19.87,4436,2313109,109279,,
IL,2002,225.285936,10.13,12526,1912109,46287,,
IL,1997,225.013071,9.24,12186,1659524,54660,,
IL,2009,224.815041,15.79,12797,2081720,69539,,
IL,1999,224.317091,8.73,12359,1957536,51593,,
FL,2009,224.272893,21.32,18653,522486,213642,,
LA,2011,224.159053,17.55,4575,3978121,111498,,
IL,2001,222.953102,11.1,12488,1908364,44170,,
FL,2012,222.884839,25.61,19326,422918,222492,,
IN,1999,222.570757,7.21,6045,812026,35587,,
LA,2007,222.401109,15.14,4376,2402980,150009,,
FL,2013,222.020989,25.19,19563,523300,233226,,
LA,2010,221.411891,14.81,4545,3178682,112652,,
LA,1997,220.867393,5.7,4421,3024352,149628,,
FL,1997,218.975252,10.84,15186,518157,231308,,
LA,2006,217.521419,14.25,4303,2387045,149461,,
PA,2016,217.408711,16.65,12784,7887773,164953,,
IN,1998,216.996442,7.07,5999,870583,36011,,
IN,2010,216.286644,15.01,6490,988588,69118,,
IN,1997,216.228795,7.4,5955,845617,38775,,
IL,2012,216.023707,19.18,12884,2440820,104195,,
IL,1998,215.161832,8.81,12272,1669295,48533,,
OH,2012,215.158072,20.53,11548,1070577,72635,,
IL,2015,215.031437,15.57,12864,2660468,132106,,
LA,2004,214.007227,10.12,4552,2515687,185640,,
NY,2004,213.099068,15.67,19172,830908,358877,,
OH,2015,212.65892,16.5,11618,2075992,77648,,
LA,2012,211.826332,15.24,4601,3790128,108783,,
NY,2000,211.587611,13.19,19002,777274,429206,,
NY,2003,210.817138,14.44,19176,819272,357371,,
NY,2005,209.393654,19.01,19133,866207,365539,,
LA,2016,209.129147,9.24,4678,2555429,160024,,
IN,2011,209.012673,17.89,6516,1063382,72234,,
LA,2009,208.8199,12.79,4492,2469342,106939,,
LA,2002,207.011665,7.02,4497,2574015,140938,,
OH,2016,206.274364,15.53,11635,2410570,74121,,
LA,1998,206.181785,5.08,4440,3024760,147482,,
NY,2001,205.802645,13.71,19083,802148,350748,,
LA,2005,205.39613,13.13,4577,2332825,151309,,
IN,2014,205.295586,18.09,6594,1124390,77635,,
NY,1999,205.105155,10.88,18883,823741,419145,,
LA,1999,205.037275,5.61,4461,2913609,148307,,
NY,1997,204.833207,11.49,18657,819671,491158,,
IL,2016,204.066954,14.59,12827,2406215,128024,,
IN,2009,203.888858,14.04,6459,966316,54158,,
LA,2015,203.862693,10.53,4665,2619416,133772,,
LA,2003,203.723631,8.58,4521,2498574,148609,,
LA,2013,203.534984,15.33,4625,3225029,126021,,
NY,1998,203.247468,10.74,18756,805749,458811,,
LA,2014,201.179149,15.14,4644,2835590,149414,,
NY,2002,200.181074,12.7,19138,816259,363960,,
IN,2013,199.938253,18.02,6568,1107930,76617,,
LA,2001,198.384658,7.93,4478,2774100,136086,,
MI,1999,197.855054,8.43,9897,598117,107946,,
NY,2007,197.59579,21.98,19132,867426,363151,,
IN,2012,194.340749,18.21,6538,1045778,69508,,
MI,2000,193.362483,9.74,9952,665306,110506,,
NY,2006,190.906883,21.14,19105,878195,378624,,
MI,1997,190.657255,8.48,9809,723072,113741,,
MI,2005,190.452796,14.53,10051,763789,110256,,
MI,1998,189.774743,8.32,9848,582547,105953,,
MI,2001,189.619285,9.94,9991,704652,94158,,
MI,2002,189.130723,9.95,10016,741868,89210,,
MI,2004,188.244832,12.14,10055,734192,101894,,
NY,2008,187.76996,25.29,19212,904367,387146,,
IN,2015,186.016527,14.95,6608,1035083,84546,,
MI,2003,185.893082,10.78,10041,681528,97148,,
GA,2007,184.458367,17.33,9350,541916,200496,,
GA,2005,184.342774,15.29,8926,545083,215974,,
IN,2016,181.853103,13.73,6633,917924,86615,,
GA,2006,181.82587,16.45,9156,541212,207178,,
MI,2007,181.396883,17.57,10001,770819,106308,,
MI,2006,179.273795,16.66,10036,726575,106140,,
MI,2008,175.04045,19.53,9947,673140,113574,,
GA,2004,173.862795,12.42,8769,578661,226739,,
NY,2010,173.83878,23.12,19400,839439,347621,,
NY,2009,172.039523,20.74,19307,872414,363021,,
GA,2008,171.861299,21.01,9505,504338,169646,,
GA,2010,171.572878,18.35,9712,568885,204179,,
NY,2014,169.776429,24.61,19656,874567,378279,,
GA,2003,168.649145,10.79,8623,568266,221665,,
GA,2000,168.626639,9.93,8227,560846,222186,,
NY,2015,167.715643,20.08,19661,875508,366528,,
GA,2002,165.609988,9.53,8508,608531,283704,,
MI,2010,164.753777,18.34,9878,631304,106755,,
NY,2011,164.047532,25.44,19499,882177,378308,,
MI,2009,164.003476,16.8,9902,556222,101612,,
NY,2016,163.655447,18.36,19642,846027,372894,,
NY,2013,162.090432,24.81,19628,876344,359578,,
GA,2009,162.077792,16.7,9621,525635,180481,,
MI,2015,161.681725,16.51,9933,655427,159977,,
MI,2013,161.592139,20.29,9913,665162,150826,,
MI,2014,161.482535,19.84,9931,692228,164251,,
GA,2001,160.884429,10.23,8377,543799,192060,,
NY,2012,160.369528,25.47,19575,820076,341725,,
GA,1999,160.327914,8.14,8046,560061,231115,,
MI,2011,159.550575,20.7,9882,687844,121580,,
GA,1998,157.860976,8.04,7864,585785,256573,,
GA,1997,156.732124,8.4,7685,581648,262479,,
GA,2011,156.310644,21.6,9802,557342,205190,,
NC,2007,154.458804,19.41,9118,532719,112690,,
NC,2005,154.028167,16.51,8705,562525,145275,,
MI,2012,152.76296,21.3,9897,632683,125094,,
KY,2007,152.483223,16,4257,3044702,50599,,
KY,2006,151.997797,15,4219,3177481,57538,,
MI,2016,151.766695,15.68,9952,663773,156947,,
KY,2008,150.109252,19.07,4290,3122644,53122,,
NC,2004,149.714438,13.92,8553,557860,139795,,
KY,2005,149.579712,13.57,4183,3153504,63466,,
NC,2008,149.198769,22.11,9309,558443,142701,,
KY,2010,149.106557,17.19,4348,2783526,61680,,
NC,2000,148.851012,11.51,8082,544289,136234,,
NC,2006,148.628039,18.16,8917,553642,136626,,
